[rc] 10 envs x 800 steps = 8000/update | obs=33 steps=50000000 rc_end=35000000 hidden=256
[rc] warm-started both teams from hs_lstm_*.pt
Iter 101 | Steps 808000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.516  hid=0.76 (20ep) | seeker=-0.538  hid=0.77 (20ep) | barr=0.68 elev=0.23 rlock=0.05
Iter 102 | Steps 816000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.323  hid=0.66 (20ep) | seeker=-0.511  hid=0.76 (20ep) | barr=0.78 elev=0.32 rlock=0.10
Iter 103 | Steps 824000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.501  hid=0.75 (20ep) | seeker=-0.511  hid=0.76 (20ep) | barr=0.72 elev=0.27 rlock=0.15
Iter 104 | Steps 832000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.530  hid=0.76 (20ep) | seeker=-0.231  hid=0.62 (20ep) | barr=0.82 elev=0.36 rlock=0.15
Iter 105 | Steps 840000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.704  hid=0.85 (20ep) | seeker=-0.495  hid=0.75 (20ep) | barr=0.62 elev=0.17 rlock=0.05
Iter 106 | Steps 848000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.512  hid=0.76 (20ep) | seeker=-0.375  hid=0.69 (20ep) | barr=0.82 elev=0.30 rlock=0.03
Iter 107 | Steps 856000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.363  hid=0.68 (20ep) | seeker=-0.578  hid=0.79 (20ep) | barr=0.80 elev=0.27 rlock=0.05
Iter 108 | Steps 864000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.495  hid=0.75 (20ep) | seeker=-0.375  hid=0.69 (20ep) | barr=0.72 elev=0.29 rlock=0.05
Iter 109 | Steps 872000 | Pools h=6 s=6 | ph=A/prelock(0.02) | std h=0.89 s=0.62 | hider=+0.432  hid=0.72 (20ep) | seeker=-0.546  hid=0.77 (20ep) | barr=0.68 elev=0.29 rlock=0.03
Iter 110 | Steps 880000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.62 | hider=+0.645  hid=0.82 (20ep) | seeker=-0.665  hid=0.83 (20ep) | barr=0.70 elev=0.24 rlock=0.03
Iter 111 | Steps 888000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.62 | hider=+0.647  hid=0.82 (20ep) | seeker=-0.495  hid=0.75 (20ep) | barr=0.82 elev=0.24 rlock=0.05
Iter 112 | Steps 896000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.62 | hider=+0.596  hid=0.80 (20ep) | seeker=-0.315  hid=0.66 (20ep) | barr=0.78 elev=0.24 rlock=0.07
Iter 113 | Steps 904000 | Pools h=6 s=6 | ph=A/prelock(0.03) | std h=0.89 s=0.62 | hider=+0.597  hid=0.80 (20ep) | seeker=-0.294  hid=0.65 (20ep) | barr=0.75 elev=0.31 rlock=0.07
